path	format	interpreter	max_glibc	max_glibcxx	needed
lib/libicutu.so.78.3	ELF 64-bit LSB shared object, ARM aarch64, version 1 (SYSV), dynamically linked, not stripped	-	2.17	3.4.32	libicui18n.so.78,libicuuc.so.78,libpthread.so.0,libstdc++.so.6,libgcc_s.so.1,libc.so.6,ld-linux-aarch64.so.1
lib/libstdc++.so.6.0.35	ELF 64-bit LSB shared object, ARM aarch64, version 1 (GNU/Linux), dynamically linked, with debug_info, not stripped	-	2.17	-	libm.so.6,libdl.so.2,libc.so.6,libgcc_s.so.1
lib/libpanelw.so.6.6	ELF 64-bit LSB shared object, ARM aarch64, version 1 (SYSV), dynamically linked, not stripped	-	2.17	-	libncursesw.so.6,libtinfow.so.6,libc.so.6
lib/libpython3.11.so.1.0	ELF 64-bit LSB shared object, ARM aarch64, version 1 (SYSV), dynamically linked, not stripped	-	2.17	-	libpthread.so.0,libdl.so.2,libutil.so.1,libm.so.6,libc.so.6,ld-linux-aarch64.so.1
lib/libzstd.so.1.5.7	ELF 64-bit LSB shared object, ARM aarch64, version 1 (SYSV), dynamically linked, not stripped	-	2.17	-	libpthread.so.0,libc.so.6,ld-linux-aarch64.so.1
lib/python3.11/lib-dynload/xxlimited_35.cpython-311-aarch64-linux-gnu.so	ELF 64-bit LSB shared object, ARM aarch64, version 1 (SYSV), dynamically linked, not stripped	-	2.17	-	libc.so.6,ld-linux-aarch64.so.1
lib/python3.11/lib-dynload/unicodedata.cpython-311-aarch64-linux-gnu.so	ELF 64-bit LSB shared object, ARM aarch64, version 1 (SYSV), dynamically linked, not stripped	-	2.17	-	libc.so.6,ld-linux-aarch64.so.1
lib/python3.11/lib-dynload/cmath.cpython-311-aarch64-linux-gnu.so	ELF 64-bit LSB shared object, ARM aarch64, version 1 (SYSV), dynamically linked, not stripped	-	2.17	-	libm.so.6,libpthread.so.0,libc.so.6,ld-linux-aarch64.so.1
lib/python3.11/lib-dynload/termios.cpython-311-aarch64-linux-gnu.so	ELF 64-bit LSB shared object, ARM aarch64, version 1 (SYSV), dynamically linked, not stripped	-	2.17	-	libpthread.so.0,libc.so.6,ld-linux-aarch64.so.1
lib/python3.11/lib-dynload/_hashlib.cpython-311-aarch64-linux-gnu.so	ELF 64-bit LSB shared object, ARM aarch64, version 1 (SYSV), dynamically linked, not stripped	-	2.17	-	libcrypto.so.3,libc.so.6,ld-linux-aarch64.so.1
lib/python3.11/lib-dynload/_sqlite3.cpython-311-aarch64-linux-gnu.so	ELF 64-bit LSB shared object, ARM aarch64, version 1 (SYSV), dynamically linked, not stripped	-	2.17	-	libsqlite3.so.0,libc.so.6,ld-linux-aarch64.so.1
lib/python3.11/lib-dynload/_multiprocessing.cpython-311-aarch64-linux-gnu.so	ELF 64-bit LSB shared object, ARM aarch64, version 1 (SYSV), dynamically linked, not stripped	-	2.17	-	libpthread.so.0,libc.so.6,ld-linux-aarch64.so.1
lib/python3.11/lib-dynload/_sha512.cpython-311-aarch64-linux-gnu.so	ELF 64-bit LSB shared object, ARM aarch64, version 1 (SYSV), dynamically linked, not stripped	-	2.17	-	libc.so.6,ld-linux-aarch64.so.1
lib/python3.11/lib-dynload/_posixshmem.cpython-311-aarch64-linux-gnu.so	ELF 64-bit LSB shared object, ARM aarch64, version 1 (SYSV), dynamically linked, not stripped	-	2.17	-	librt.so.1,libpthread.so.0,libc.so.6,ld-linux-aarch64.so.1
lib/python3.11/lib-dynload/_contextvars.cpython-311-aarch64-linux-gnu.so	ELF 64-bit LSB shared object, ARM aarch64, version 1 (SYSV), static-pie linked, not stripped	-	-	-	-
lib/python3.11/lib-dynload/zlib.cpython-311-aarch64-linux-gnu.so	ELF 64-bit LSB shared object, ARM aarch64, version 1 (SYSV), dynamically linked, not stripped	-	2.17	-	libz.so.1,libpthread.so.0,libc.so.6,ld-linux-aarch64.so.1
lib/python3.11/lib-dynload/_blake2.cpython-311-aarch64-linux-gnu.so	ELF 64-bit LSB shared object, ARM aarch64, version 1 (SYSV), dynamically linked, not stripped	-	2.17	-	libc.so.6,ld-linux-aarch64.so.1
lib/python3.11/lib-dynload/readline.cpython-311-aarch64-linux-gnu.so	ELF 64-bit LSB shared object, ARM aarch64, version 1 (SYSV), dynamically linked, not stripped	-	2.17	-	libreadline.so.8,libpthread.so.0,libc.so.6,ld-linux-aarch64.so.1
lib/python3.11/lib-dynload/ossaudiodev.cpython-311-aarch64-linux-gnu.so	ELF 64-bit LSB shared object, ARM aarch64, version 1 (SYSV), dynamically linked, not stripped	-	2.17	-	libpthread.so.0,libc.so.6,ld-linux-aarch64.so.1
lib/python3.11/lib-dynload/_opcode.cpython-311-aarch64-linux-gnu.so	ELF 64-bit LSB shared object, ARM aarch64, version 1 (SYSV), dynamically linked, not stripped	-	2.17	-	libc.so.6,ld-linux-aarch64.so.1
lib/python3.11/lib-dynload/mmap.cpython-311-aarch64-linux-gnu.so	ELF 64-bit LSB shared object, ARM aarch64, version 1 (SYSV), dynamically linked, not stripped	-	2.17	-	libpthread.so.0,libc.so.6,ld-linux-aarch64.so.1
lib/python3.11/lib-dynload/_xxtestfuzz.cpython-311-aarch64-linux-gnu.so	ELF 64-bit LSB shared object, ARM aarch64, version 1 (SYSV), dynamically linked, not stripped	-	2.17	-	libc.so.6,ld-linux-aarch64.so.1
lib/python3.11/lib-dynload/_heapq.cpython-311-aarch64-linux-gnu.so	ELF 64-bit LSB shared object, ARM aarch64, version 1 (SYSV), static-pie linked, not stripped	-	-	-	-
lib/python3.11/lib-dynload/resource.cpython-311-aarch64-linux-gnu.so	ELF 64-bit LSB shared object, ARM aarch64, version 1 (SYSV), dynamically linked, not stripped	-	2.17	-	libpthread.so.0,libc.so.6,ld-linux-aarch64.so.1
lib/python3.11/lib-dynload/_ssl.cpython-311-aarch64-linux-gnu.so	ELF 64-bit LSB shared object, ARM aarch64, version 1 (SYSV), dynamically linked, not stripped	-	2.17	-	libssl.so.3,libcrypto.so.3,libpthread.so.0,libc.so.6,ld-linux-aarch64.so.1
lib/python3.11/lib-dynload/_zoneinfo.cpython-311-aarch64-linux-gnu.so	ELF 64-bit LSB shared object, ARM aarch64, version 1 (SYSV), dynamically linked, not stripped	-	2.17	-	libc.so.6,ld-linux-aarch64.so.1
lib/python3.11/lib-dynload/_random.cpython-311-aarch64-linux-gnu.so	ELF 64-bit LSB shared object, ARM aarch64, version 1 (SYSV), dynamically linked, not stripped	-	2.17	-	libc.so.6,ld-linux-aarch64.so.1
lib/python3.11/lib-dynload/_json.cpython-311-aarch64-linux-gnu.so	ELF 64-bit LSB shared object, ARM aarch64, version 1 (SYSV), dynamically linked, not stripped	-	2.17	-	libc.so.6,ld-linux-aarch64.so.1
lib/python3.11/lib-dynload/_md5.cpython-311-aarch64-linux-gnu.so	ELF 64-bit LSB shared object, ARM aarch64, version 1 (SYSV), dynamically linked, not stripped	-	2.17	-	libc.so.6,ld-linux-aarch64.so.1
lib/python3.11/lib-dynload/_typing.cpython-311-aarch64-linux-gnu.so	ELF 64-bit LSB shared object, ARM aarch64, version 1 (SYSV), static-pie linked, not stripped	-	-	-	-
lib/python3.11/lib-dynload/_crypt.cpython-311-aarch64-linux-gnu.so	ELF 64-bit LSB shared object, ARM aarch64, version 1 (SYSV), dynamically linked, not stripped	-	2.17	-	libcrypt.so.2,libpthread.so.0,libc.so.6,ld-linux-aarch64.so.1
lib/python3.11/lib-dynload/_queue.cpython-311-aarch64-linux-gnu.so	ELF 64-bit LSB shared object, ARM aarch64, version 1 (SYSV), dynamically linked, not stripped	-	2.17	-	libc.so.6,ld-linux-aarch64.so.1
lib/python3.11/lib-dynload/_codecs_kr.cpython-311-aarch64-linux-gnu.so	ELF 64-bit LSB shared object, ARM aarch64, version 1 (SYSV), dynamically linked, not stripped	-	2.17	-	libc.so.6,ld-linux-aarch64.so.1
lib/python3.11/lib-dynload/_codecs_iso2022.cpython-311-aarch64-linux-gnu.so	ELF 64-bit LSB shared object, ARM aarch64, version 1 (SYSV), dynamically linked, not stripped	-	2.17	-	libc.so.6,ld-linux-aarch64.so.1
lib/python3.11/lib-dynload/_curses_panel.cpython-311-aarch64-linux-gnu.so	ELF 64-bit LSB shared object, ARM aarch64, version 1 (SYSV), dynamically linked, not stripped	-	2.17	-	libpanelw.so.6,libc.so.6,ld-linux-aarch64.so.1
lib/python3.11/lib-dynload/_multibytecodec.cpython-311-aarch64-linux-gnu.so	ELF 64-bit LSB shared object, ARM aarch64, version 1 (SYSV), dynamically linked, not stripped	-	2.17	-	libc.so.6,ld-linux-aarch64.so.1
lib/python3.11/lib-dynload/_ctypes_test.cpython-311-aarch64-linux-gnu.so	ELF 64-bit LSB shared object, ARM aarch64, version 1 (SYSV), dynamically linked, with debug_info, not stripped	-	2.17	-	libm.so.6,libc.so.6,ld-linux-aarch64.so.1
lib/python3.11/lib-dynload/binascii.cpython-311-aarch64-linux-gnu.so	ELF 64-bit LSB shared object, ARM aarch64, version 1 (SYSV), dynamically linked, not stripped	-	2.17	-	libz.so.1,libpthread.so.0,libc.so.6,ld-linux-aarch64.so.1
lib/python3.11/lib-dynload/_testclinic.cpython-311-aarch64-linux-gnu.so	ELF 64-bit LSB shared object, ARM aarch64, version 1 (SYSV), dynamically linked, not stripped	-	2.17	-	libc.so.6,ld-linux-aarch64.so.1
lib/python3.11/lib-dynload/_testinternalcapi.cpython-311-aarch64-linux-gnu.so	ELF 64-bit LSB shared object, ARM aarch64, version 1 (SYSV), dynamically linked, not stripped	-	2.17	-	libc.so.6,ld-linux-aarch64.so.1
lib/python3.11/lib-dynload/_sha1.cpython-311-aarch64-linux-gnu.so	ELF 64-bit LSB shared object, ARM aarch64, version 1 (SYSV), dynamically linked, not stripped	-	2.17	-	libc.so.6,ld-linux-aarch64.so.1
lib/python3.11/lib-dynload/syslog.cpython-311-aarch64-linux-gnu.so	ELF 64-bit LSB shared object, ARM aarch64, version 1 (SYSV), dynamically linked, not stripped	-	2.17	-	libc.so.6,ld-linux-aarch64.so.1
lib/python3.11/lib-dynload/select.cpython-311-aarch64-linux-gnu.so	ELF 64-bit LSB shared object, ARM aarch64, version 1 (SYSV), dynamically linked, not stripped	-	2.17	-	libpthread.so.0,libc.so.6,ld-linux-aarch64.so.1
lib/python3.11/lib-dynload/grp.cpython-311-aarch64-linux-gnu.so	ELF 64-bit LSB shared object, ARM aarch64, version 1 (SYSV), dynamically linked, not stripped	-	2.17	-	libc.so.6,ld-linux-aarch64.so.1
lib/python3.11/lib-dynload/_pickle.cpython-311-aarch64-linux-gnu.so	ELF 64-bit LSB shared object, ARM aarch64, version 1 (SYSV), dynamically linked, not stripped	-	2.17	-	libpthread.so.0,libc.so.6,ld-linux-aarch64.so.1
lib/python3.11/lib-dynload/_sha256.cpython-311-aarch64-linux-gnu.so	ELF 64-bit LSB shared object, ARM aarch64, version 1 (SYSV), dynamically linked, not stripped	-	2.17	-	libc.so.6,ld-linux-aarch64.so.1
lib/python3.11/lib-dynload/_elementtree.cpython-311-aarch64-linux-gnu.so	ELF 64-bit LSB shared object, ARM aarch64, version 1 (SYSV), dynamically linked, not stripped	-	2.17	-	libc.so.6,ld-linux-aarch64.so.1
lib/python3.11/lib-dynload/pyexpat.cpython-311-aarch64-linux-gnu.so	ELF 64-bit LSB shared object, ARM aarch64, version 1 (SYSV), dynamically linked, not stripped	-	2.17	-	libexpat.so.1,libpthread.so.0,libc.so.6,ld-linux-aarch64.so.1
lib/python3.11/lib-dynload/_posixsubprocess.cpython-311-aarch64-linux-gnu.so	ELF 64-bit LSB shared object, ARM aarch64, version 1 (SYSV), dynamically linked, not stripped	-	2.17	-	libpthread.so.0,libc.so.6,ld-linux-aarch64.so.1
lib/python3.11/lib-dynload/_codecs_cn.cpython-311-aarch64-linux-gnu.so	ELF 64-bit LSB shared object, ARM aarch64, version 1 (SYSV), dynamically linked, not stripped	-	2.17	-	libc.so.6,ld-linux-aarch64.so.1
lib/python3.11/lib-dynload/_datetime.cpython-311-aarch64-linux-gnu.so	ELF 64-bit LSB shared object, ARM aarch64, version 1 (SYSV), dynamically linked, not stripped	-	2.17	-	libm.so.6,libc.so.6,ld-linux-aarch64.so.1
lib/python3.11/lib-dynload/math.cpython-311-aarch64-linux-gnu.so	ELF 64-bit LSB shared object, ARM aarch64, version 1 (SYSV), dynamically linked, not stripped	-	2.17	-	libm.so.6,libpthread.so.0,libc.so.6,ld-linux-aarch64.so.1
lib/python3.11/lib-dynload/_testbuffer.cpython-311-aarch64-linux-gnu.so	ELF 64-bit LSB shared object, ARM aarch64, version 1 (SYSV), dynamically linked, not stripped	-	2.17	-	libc.so.6,ld-linux-aarch64.so.1
lib/python3.11/lib-dynload/_sha3.cpython-311-aarch64-linux-gnu.so	ELF 64-bit LSB shared object, ARM aarch64, version 1 (SYSV), dynamically linked, not stripped	-	2.17	-	libc.so.6,ld-linux-aarch64.so.1
lib/python3.11/lib-dynload/nis.cpython-311-aarch64-linux-gnu.so	ELF 64-bit LSB shared object, ARM aarch64, version 1 (SYSV), dynamically linked, not stripped	-	2.17	-	libnsl.so.3,libpthread.so.0,libc.so.6,ld-linux-aarch64.so.1
lib/python3.11/lib-dynload/_statistics.cpython-311-aarch64-linux-gnu.so	ELF 64-bit LSB shared object, ARM aarch64, version 1 (SYSV), dynamically linked, not stripped	-	2.17	-	libm.so.6
lib/python3.11/lib-dynload/_socket.cpython-311-aarch64-linux-gnu.so	ELF 64-bit LSB shared object, ARM aarch64, version 1 (SYSV), dynamically linked, not stripped	-	2.17	-	libpthread.so.0,libc.so.6,ld-linux-aarch64.so.1
lib/python3.11/lib-dynload/_bisect.cpython-311-aarch64-linux-gnu.so	ELF 64-bit LSB shared object, ARM aarch64, version 1 (SYSV), dynamically linked, not stripped	-	2.17	-	libc.so.6,ld-linux-aarch64.so.1
lib/python3.11/lib-dynload/spwd.cpython-311-aarch64-linux-gnu.so	ELF 64-bit LSB shared object, ARM aarch64, version 1 (SYSV), dynamically linked, not stripped	-	2.17	-	libpthread.so.0,libc.so.6,ld-linux-aarch64.so.1
lib/python3.11/lib-dynload/_curses.cpython-311-aarch64-linux-gnu.so	ELF 64-bit LSB shared object, ARM aarch64, version 1 (SYSV), dynamically linked, not stripped	-	2.17	-	libncursesw.so.6,libtinfow.so.6,libpthread.so.0,libc.so.6,ld-linux-aarch64.so.1
lib/python3.11/lib-dynload/audioop.cpython-311-aarch64-linux-gnu.so	ELF 64-bit LSB shared object, ARM aarch64, version 1 (SYSV), dynamically linked, not stripped	-	2.17	-	libm.so.6,libc.so.6,ld-linux-aarch64.so.1
lib/python3.11/lib-dynload/_xxsubinterpreters.cpython-311-aarch64-linux-gnu.so	ELF 64-bit LSB shared object, ARM aarch64, version 1 (SYSV), dynamically linked, not stripped	-	2.17	-	libc.so.6,ld-linux-aarch64.so.1
lib/python3.11/lib-dynload/_codecs_jp.cpython-311-aarch64-linux-gnu.so	ELF 64-bit LSB shared object, ARM aarch64, version 1 (SYSV), dynamically linked, not stripped	-	2.17	-	libc.so.6,ld-linux-aarch64.so.1
lib/python3.11/lib-dynload/_uuid.cpython-311-aarch64-linux-gnu.so	ELF 64-bit LSB shared object, ARM aarch64, version 1 (SYSV), dynamically linked, not stripped	-	2.17	-	libuuid.so.1,libc.so.6,ld-linux-aarch64.so.1
lib/python3.11/lib-dynload/array.cpython-311-aarch64-linux-gnu.so	ELF 64-bit LSB shared object, ARM aarch64, version 1 (SYSV), dynamically linked, not stripped	-	2.17	-	libc.so.6,ld-linux-aarch64.so.1
lib/python3.11/lib-dynload/fcntl.cpython-311-aarch64-linux-gnu.so	ELF 64-bit LSB shared object, ARM aarch64, version 1 (SYSV), dynamically linked, not stripped	-	2.17	-	libpthread.so.0,libc.so.6,ld-linux-aarch64.so.1
lib/python3.11/lib-dynload/_struct.cpython-311-aarch64-linux-gnu.so	ELF 64-bit LSB shared object, ARM aarch64, version 1 (SYSV), dynamically linked, not stripped	-	2.17	-	libc.so.6,ld-linux-aarch64.so.1
lib/python3.11/lib-dynload/_testcapi.cpython-311-aarch64-linux-gnu.so	ELF 64-bit LSB shared object, ARM aarch64, version 1 (SYSV), dynamically linked, not stripped	-	2.17	-	libpthread.so.0,libc.so.6,ld-linux-aarch64.so.1
lib/python3.11/lib-dynload/_codecs_hk.cpython-311-aarch64-linux-gnu.so	ELF 64-bit LSB shared object, ARM aarch64, version 1 (SYSV), dynamically linked, not stripped	-	2.17	-	libc.so.6,ld-linux-aarch64.so.1
lib/python3.11/lib-dynload/_ctypes.cpython-311-aarch64-linux-gnu.so	ELF 64-bit LSB shared object, ARM aarch64, version 1 (SYSV), dynamically linked, with debug_info, not stripped	-	2.17	-	libffi.so.8,libdl.so.2,libpthread.so.0,libc.so.6,ld-linux-aarch64.so.1
lib/python3.11/lib-dynload/_bz2.cpython-311-aarch64-linux-gnu.so	ELF 64-bit LSB shared object, ARM aarch64, version 1 (SYSV), dynamically linked, not stripped	-	2.17	-	libbz2.so.1.0,libc.so.6,ld-linux-aarch64.so.1
lib/python3.11/lib-dynload/_asyncio.cpython-311-aarch64-linux-gnu.so	ELF 64-bit LSB shared object, ARM aarch64, version 1 (SYSV), dynamically linked, not stripped	-	2.17	-	libc.so.6,ld-linux-aarch64.so.1
lib/python3.11/lib-dynload/_testmultiphase.cpython-311-aarch64-linux-gnu.so	ELF 64-bit LSB shared object, ARM aarch64, version 1 (SYSV), dynamically linked, not stripped	-	2.17	-	libc.so.6,ld-linux-aarch64.so.1
lib/python3.11/lib-dynload/xxlimited.cpython-311-aarch64-linux-gnu.so	ELF 64-bit LSB shared object, ARM aarch64, version 1 (SYSV), dynamically linked, not stripped	-	2.17	-	libc.so.6,ld-linux-aarch64.so.1
lib/python3.11/lib-dynload/_tkinter.cpython-311-aarch64-linux-gnu.so	ELF 64-bit LSB shared object, ARM aarch64, version 1 (SYSV), dynamically linked, not stripped	-	2.17	-	libtk8.6.so,libtcl8.6.so,libc.so.6,ld-linux-aarch64.so.1
lib/python3.11/lib-dynload/_csv.cpython-311-aarch64-linux-gnu.so	ELF 64-bit LSB shared object, ARM aarch64, version 1 (SYSV), dynamically linked, not stripped	-	2.17	-	libc.so.6,ld-linux-aarch64.so.1
lib/python3.11/lib-dynload/_lzma.cpython-311-aarch64-linux-gnu.so	ELF 64-bit LSB shared object, ARM aarch64, version 1 (SYSV), dynamically linked, not stripped	-	2.17	-	liblzma.so.5,libc.so.6,ld-linux-aarch64.so.1
lib/python3.11/lib-dynload/_testimportmultiple.cpython-311-aarch64-linux-gnu.so	ELF 64-bit LSB shared object, ARM aarch64, version 1 (SYSV), static-pie linked, not stripped	-	-	-	-
lib/python3.11/lib-dynload/_lsprof.cpython-311-aarch64-linux-gnu.so	ELF 64-bit LSB shared object, ARM aarch64, version 1 (SYSV), dynamically linked, not stripped	-	2.17	-	libc.so.6,ld-linux-aarch64.so.1
lib/python3.11/lib-dynload/_decimal.cpython-311-aarch64-linux-gnu.so	ELF 64-bit LSB shared object, ARM aarch64, version 1 (SYSV), dynamically linked, with debug_info, not stripped	-	2.17	-	libm.so.6,libpthread.so.0,libc.so.6,ld-linux-aarch64.so.1
lib/python3.11/lib-dynload/_codecs_tw.cpython-311-aarch64-linux-gnu.so	ELF 64-bit LSB shared object, ARM aarch64, version 1 (SYSV), dynamically linked, not stripped	-	2.17	-	libc.so.6,ld-linux-aarch64.so.1
lib/python3.11/config-3.11-aarch64-linux-gnu/python.o	ELF 64-bit LSB relocatable, ARM aarch64, version 1 (SYSV), not stripped	-	-	-	-
lib/gcc/aarch64-conda-linux-gnu/15.3.0/libtsan_preinit.o	ELF 64-bit LSB relocatable, ARM aarch64, version 1 (SYSV), with debug_info, not stripped	-	-	-	-
lib/gcc/aarch64-conda-linux-gnu/15.3.0/crtbeginS.o	ELF 64-bit LSB relocatable, ARM aarch64, version 1 (SYSV), not stripped	-	-	-	-
lib/gcc/aarch64-conda-linux-gnu/15.3.0/liblsan_preinit.o	ELF 64-bit LSB relocatable, ARM aarch64, version 1 (SYSV), with debug_info, not stripped	-	-	-	-
lib/gcc/aarch64-conda-linux-gnu/15.3.0/libasan_preinit.o	ELF 64-bit LSB relocatable, ARM aarch64, version 1 (SYSV), with debug_info, not stripped	-	-	-	-
lib/gcc/aarch64-conda-linux-gnu/15.3.0/libhwasan_preinit.o	ELF 64-bit LSB relocatable, ARM aarch64, version 1 (SYSV), with debug_info, not stripped	-	-	-	-
lib/gcc/aarch64-conda-linux-gnu/15.3.0/libstdc++.so.6.0.34	ELF 64-bit LSB shared object, ARM aarch64, version 1 (GNU/Linux), dynamically linked, with debug_info, not stripped	-	2.17	-	libm.so.6,libdl.so.2,libc.so.6,libgcc_s.so.1
lib/gcc/aarch64-conda-linux-gnu/15.3.0/crtend.o	ELF 64-bit LSB relocatable, ARM aarch64, version 1 (SYSV), not stripped	-	-	-	-
lib/gcc/aarch64-conda-linux-gnu/15.3.0/plugin/libcp1plugin.so.0.0.0	ELF 64-bit LSB shared object, ARM aarch64, version 1 (SYSV), dynamically linked, with debug_info, not stripped	-	2.17	3.4	libstdc++.so.6,libm.so.6,libc.so.6,libgcc_s.so.1
lib/gcc/aarch64-conda-linux-gnu/15.3.0/plugin/libcc1plugin.so.0.0.0	ELF 64-bit LSB shared object, ARM aarch64, version 1 (SYSV), dynamically linked, with debug_info, not stripped	-	2.17	3.4	libstdc++.so.6,libm.so.6,libc.so.6,libgcc_s.so.1
lib/gcc/aarch64-conda-linux-gnu/15.3.0/crtbeginT.o	ELF 64-bit LSB relocatable, ARM aarch64, version 1 (SYSV), not stripped	-	-	-	-
lib/gcc/aarch64-conda-linux-gnu/15.3.0/libgcc_s.so.1	ELF 64-bit LSB shared object, ARM aarch64, version 1 (SYSV), dynamically linked, with debug_info, not stripped	-	2.17	-	libc.so.6
lib/gcc/aarch64-conda-linux-gnu/15.3.0/crtbegin.o	ELF 64-bit LSB relocatable, ARM aarch64, version 1 (SYSV), not stripped	-	-	-	-
lib/gcc/aarch64-conda-linux-gnu/15.3.0/crtfastmath.o	ELF 64-bit LSB relocatable, ARM aarch64, version 1 (SYSV), with debug_info, not stripped	-	-	-	-
lib/gcc/aarch64-conda-linux-gnu/15.3.0/crtendS.o	ELF 64-bit LSB relocatable, ARM aarch64, version 1 (SYSV), not stripped	-	-	-	-
lib/libtsan.so.2.0.0	ELF 64-bit LSB shared object, ARM aarch64, version 1 (SYSV), dynamically linked, with debug_info, not stripped	-	2.17	-	librt.so.1,libpthread.so.0,libstdc++.so.6,libm.so.6,libdl.so.2,libc.so.6,libgcc_s.so.1
lib/libgcc_s.so.1	ELF 64-bit LSB shared object, ARM aarch64, version 1 (SYSV), dynamically linked, with debug_info, not stripped	-	2.17	-	libc.so.6
lib/libicuio.so.78.3	ELF 64-bit LSB shared object, ARM aarch64, version 1 (SYSV), dynamically linked, not stripped	-	2.17	3.4.32	libicuuc.so.78,libicui18n.so.78,libstdc++.so.6,libgcc_s.so.1,libc.so.6,ld-linux-aarch64.so.1
lib/libsqlite3.so.3.53.4	ELF 64-bit LSB shared object, ARM aarch64, version 1 (SYSV), dynamically linked, not stripped	-	2.17	-	libpthread.so.0,libm.so.6,libdl.so.2,libc.so.6,ld-linux-aarch64.so.1
lib/libgomp.so.1.0.0	ELF 64-bit LSB shared object, ARM aarch64, version 1 (SYSV), dynamically linked, with debug_info, not stripped	-	2.17	-	libdl.so.2,libpthread.so.0,libc.so.6
lib/libhwasan.so.0.0.0	ELF 64-bit LSB shared object, ARM aarch64, version 1 (SYSV), dynamically linked, with debug_info, not stripped	-	2.17	-	librt.so.1,libpthread.so.0,libstdc++.so.6,libm.so.6,libdl.so.2,libc.so.6,libgcc_s.so.1
lib/liblsan.so.0.0.0	ELF 64-bit LSB shared object, ARM aarch64, version 1 (SYSV), dynamically linked, with debug_info, not stripped	-	2.17	-	librt.so.1,libpthread.so.0,libstdc++.so.6,libm.so.6,libdl.so.2,libc.so.6,libgcc_s.so.1
lib/libuv.so.1.0.0	ELF 64-bit LSB shared object, ARM aarch64, version 1 (SYSV), dynamically linked, with debug_info, not stripped	-	2.17	-	libdl.so.2,libpthread.so.0,libc.so.6,ld-linux-aarch64.so.1
lib/libtinfo.so.6.6	ELF 64-bit LSB shared object, ARM aarch64, version 1 (SYSV), dynamically linked, not stripped	-	2.17	-	libc.so.6,ld-linux-aarch64.so.1
lib/tdbcmysql1.1.5/libtdbcmysql1.1.5.so	ELF 64-bit LSB shared object, ARM aarch64, version 1 (SYSV), dynamically linked, not stripped	-	2.17	-	libc.so.6,ld-linux-aarch64.so.1
lib/libssl.so.3	ELF 64-bit LSB shared object, ARM aarch64, version 1 (SYSV), dynamically linked, with debug_info, not stripped	-	2.17	-	libcrypto.so.3,libpthread.so.0,libc.so.6,ld-linux-aarch64.so.1
lib/libcrypto.so.3	ELF 64-bit LSB shared object, ARM aarch64, version 1 (SYSV), dynamically linked, with debug_info, not stripped	-	2.17	-	libdl.so.2,libpthread.so.0,libc.so.6,ld-linux-aarch64.so.1
lib/libreadline.so.8.3	ELF 64-bit LSB shared object, ARM aarch64, version 1 (SYSV), dynamically linked, not stripped	-	2.17	-	libtinfo.so.6,libc.so.6,ld-linux-aarch64.so.1
lib/libhistory.so.8.3	ELF 64-bit LSB shared object, ARM aarch64, version 1 (SYSV), dynamically linked, not stripped	-	2.17	-	libc.so.6,ld-linux-aarch64.so.1
lib/libicui18n.so.78.3	ELF 64-bit LSB shared object, ARM aarch64, version 1 (SYSV), dynamically linked, with debug_info, not stripped	-	2.17	3.4	libicuuc.so.78,libstdc++.so.6,libm.so.6,libgcc_s.so.1,libc.so.6,ld-linux-aarch64.so.1
lib/liblzma.so.5.8.3	ELF 64-bit LSB shared object, ARM aarch64, version 1 (SYSV), dynamically linked, not stripped	-	2.17	-	libpthread.so.0,libc.so.6,ld-linux-aarch64.so.1
lib/libuuid.so.1.3.0	ELF 64-bit LSB shared object, ARM aarch64, version 1 (SYSV), dynamically linked, not stripped	-	2.17	-	libpthread.so.0,libc.so.6,ld-linux-aarch64.so.1
lib/libcc1.so.0.0.0	ELF 64-bit LSB shared object, ARM aarch64, version 1 (SYSV), dynamically linked, with debug_info, not stripped	-	2.17	3.4.31	libstdc++.so.6,libm.so.6,libc.so.6,libgcc_s.so.1
lib/itcl4.2.3/libitcl4.2.3.so	ELF 64-bit LSB shared object, ARM aarch64, version 1 (SYSV), dynamically linked, not stripped	-	2.17	-	libc.so.6,ld-linux-aarch64.so.1
lib/libtcl8.6.so	ELF 64-bit LSB shared object, ARM aarch64, version 1 (SYSV), dynamically linked, not stripped	-	2.17	-	libdl.so.2,libz.so.1,libpthread.so.0,libm.so.6,libc.so.6,ld-linux-aarch64.so.1
lib/libffi.so.8.4.0	ELF 64-bit LSB shared object, ARM aarch64, version 1 (SYSV), dynamically linked, with debug_info, not stripped	-	2.17	-	libc.so.6,ld-linux-aarch64.so.1
lib/libtk8.6.so	ELF 64-bit LSB shared object, ARM aarch64, version 1 (SYSV), dynamically linked, not stripped	-	2.17	-	libX11.so.6,libm.so.6,libc.so.6,ld-linux-aarch64.so.1
lib/libubsan.so.1.0.0	ELF 64-bit LSB shared object, ARM aarch64, version 1 (SYSV), dynamically linked, with debug_info, not stripped	-	2.17	3.4	librt.so.1,libpthread.so.0,libstdc++.so.6,libm.so.6,libdl.so.2,libc.so.6,libgcc_s.so.1
lib/libz.so.1.3.2	ELF 64-bit LSB shared object, ARM aarch64, version 1 (SYSV), dynamically linked, not stripped	-	2.17	-	libc.so.6,ld-linux-aarch64.so.1
