_openmp_mutex-4.5-20_gnu.conda	linux-aarch64	https://conda.anaconda.org/conda-forge/linux-aarch64/_openmp_mutex-4.5-20_gnu.conda	https://mirrors.tuna.tsinghua.edu.cn/anaconda/cloud/conda-forge/linux-aarch64/_openmp_mutex-4.5-20_gnu.conda
binutils-2.46.1-default_hf1166c9_102.conda	linux-aarch64	https://conda.anaconda.org/conda-forge/linux-aarch64/binutils-2.46.1-default_hf1166c9_102.conda	https://mirrors.tuna.tsinghua.edu.cn/anaconda/cloud/conda-forge/linux-aarch64/binutils-2.46.1-default_hf1166c9_102.conda
binutils_impl_linux-aarch64-2.46.1-default_h5f4c503_102.conda	linux-aarch64	https://conda.anaconda.org/conda-forge/linux-aarch64/binutils_impl_linux-aarch64-2.46.1-default_h5f4c503_102.conda	https://mirrors.tuna.tsinghua.edu.cn/anaconda/cloud/conda-forge/linux-aarch64/binutils_impl_linux-aarch64-2.46.1-default_h5f4c503_102.conda
bzip2-1.0.8-h4777abc_10.conda	linux-aarch64	https://conda.anaconda.org/conda-forge/linux-aarch64/bzip2-1.0.8-h4777abc_10.conda	https://mirrors.tuna.tsinghua.edu.cn/anaconda/cloud/conda-forge/linux-aarch64/bzip2-1.0.8-h4777abc_10.conda
c-compiler-2.0.0-h1f08cd5_0.conda	linux-aarch64	https://conda.anaconda.org/conda-forge/linux-aarch64/c-compiler-2.0.0-h1f08cd5_0.conda	https://mirrors.tuna.tsinghua.edu.cn/anaconda/cloud/conda-forge/linux-aarch64/c-compiler-2.0.0-h1f08cd5_0.conda
ca-certificates-2026.7.22-hbd8a1cb_0.conda	noarch	https://conda.anaconda.org/conda-forge/noarch/ca-certificates-2026.7.22-hbd8a1cb_0.conda	https://mirrors.tuna.tsinghua.edu.cn/anaconda/cloud/conda-forge/noarch/ca-certificates-2026.7.22-hbd8a1cb_0.conda
conda-gcc-specs-15.3.0-hbdd0822_1.conda	linux-aarch64	https://conda.anaconda.org/conda-forge/linux-aarch64/conda-gcc-specs-15.3.0-hbdd0822_1.conda	https://mirrors.tuna.tsinghua.edu.cn/anaconda/cloud/conda-forge/linux-aarch64/conda-gcc-specs-15.3.0-hbdd0822_1.conda
cxx-compiler-2.0.0-hf41333a_0.conda	linux-aarch64	https://conda.anaconda.org/conda-forge/linux-aarch64/cxx-compiler-2.0.0-hf41333a_0.conda	https://mirrors.tuna.tsinghua.edu.cn/anaconda/cloud/conda-forge/linux-aarch64/cxx-compiler-2.0.0-hf41333a_0.conda
gcc-15.3.0-hfdd745d_1.conda	linux-aarch64	https://conda.anaconda.org/conda-forge/linux-aarch64/gcc-15.3.0-hfdd745d_1.conda	https://mirrors.tuna.tsinghua.edu.cn/anaconda/cloud/conda-forge/linux-aarch64/gcc-15.3.0-hfdd745d_1.conda
gcc_impl_linux-aarch64-15.3.0-h7f08dc7_1.conda	linux-aarch64	https://conda.anaconda.org/conda-forge/linux-aarch64/gcc_impl_linux-aarch64-15.3.0-h7f08dc7_1.conda	https://mirrors.tuna.tsinghua.edu.cn/anaconda/cloud/conda-forge/linux-aarch64/gcc_impl_linux-aarch64-15.3.0-h7f08dc7_1.conda
gxx-15.3.0-h15173b7_1.conda	linux-aarch64	https://conda.anaconda.org/conda-forge/linux-aarch64/gxx-15.3.0-h15173b7_1.conda	https://mirrors.tuna.tsinghua.edu.cn/anaconda/cloud/conda-forge/linux-aarch64/gxx-15.3.0-h15173b7_1.conda
gxx_impl_linux-aarch64-15.3.0-hcb04d1e_1.conda	linux-aarch64	https://conda.anaconda.org/conda-forge/linux-aarch64/gxx_impl_linux-aarch64-15.3.0-hcb04d1e_1.conda	https://mirrors.tuna.tsinghua.edu.cn/anaconda/cloud/conda-forge/linux-aarch64/gxx_impl_linux-aarch64-15.3.0-hcb04d1e_1.conda
icu-78.3-py311h3512406_2.conda	linux-aarch64	https://conda.anaconda.org/conda-forge/linux-aarch64/icu-78.3-py311h3512406_2.conda	https://mirrors.tuna.tsinghua.edu.cn/anaconda/cloud/conda-forge/linux-aarch64/icu-78.3-py311h3512406_2.conda
kernel-headers_linux-aarch64-4.18.0-h05a177a_9.conda	noarch	https://conda.anaconda.org/conda-forge/noarch/kernel-headers_linux-aarch64-4.18.0-h05a177a_9.conda	https://mirrors.tuna.tsinghua.edu.cn/anaconda/cloud/conda-forge/noarch/kernel-headers_linux-aarch64-4.18.0-h05a177a_9.conda
ld_impl_linux-aarch64-2.46.1-default_h1979696_102.conda	linux-aarch64	https://conda.anaconda.org/conda-forge/linux-aarch64/ld_impl_linux-aarch64-2.46.1-default_h1979696_102.conda	https://mirrors.tuna.tsinghua.edu.cn/anaconda/cloud/conda-forge/linux-aarch64/ld_impl_linux-aarch64-2.46.1-default_h1979696_102.conda
